ticker,event_date,capm_alpha,capm_beta,capm_car_1,capm_car_5,capm_car_30,capm_car_60
ARMK,2020-03-23,0.0009587664400644457,0.8269027008780484,-0.08311256193058349,-0.022513777439988236,0.10183316351023508,0.02707357060308753
AROW,2023-11-07,-0.003231902291217693,0.8503855949524011,-0.008806615504272036,0.05512631881531944,0.23297978852206444,0.11471054262648821
ARR,2016-05-04,0.00023000498308558043,0.7520782965359318,0.006384645170687415,0.018550760310997366,-0.022996254924052717,0.036094663726630415
ARR,2016-12-28,0.0005412925408698674,0.8219553217229686,0.018819271700334223,0.021128462240104704,-0.01913737922518001,-0.0038113642723654317
ARR,2017-03-21,0.00023302271977460056,0.5719806182672237,0.015502762006568136,0.0381231486845412,0.13963729647583678,0.19724194928284483
ARR,2017-10-30,0.0007612167595639368,0.45334594961962915,-0.015139955439147958,-0.05906984662738378,-0.004348894654955457,-0.10765455254901724
ARR,2018-03-09,0.00045092234592224856,0.6042978254475341,0.007086771562067851,0.016792983005189867,0.027582944864936045,0.018618976077598416
ARR,2019-05-23,-0.0003541047355888079,0.2878086783731592,0.012456740286426569,-0.01926329149864474,0.053236742027611604,-0.002617946474582713
ARR,2020-04-06,0.0003623957658946913,0.47881336624905335,0.19874041130064,0.29737254323259027,0.17155571527772906,0.34244829353964606
ARRY,2020-10-19,,,,,,
ASB,2015-06-02,-0.00013101646976439011,1.1260255042506762,0.0342583054620844,0.07892357382692038,0.08334225423164295,0.04045985098863379
ASB,2016-09-09,-0.00045374463783349035,1.369373496490671,0.01514338513165379,-0.0020675230743800723,0.01675777162737162,0.1760482261040961
ASB,2020-06-11,-0.0015108436786106948,1.1908201392123918,0.016270012540104933,-0.008122743875594297,-0.04739067846597143,-0.04477283694326459
ASGN,2018-11-20,-2.3143925003062714e-05,1.115383853257188,0.034475550915495576,0.016099463543776196,-0.09604082653578529,-0.04918901350710684
ASIX,2019-12-12,-0.0011989486573038485,1.6157158723580118,0.02687393882314116,0.05908005239001912,-0.0919216211205559,-0.38581561180839863
ASIX,2020-03-16,-0.0031372074218886793,1.8265502823989916,0.3535393818686146,0.448957284516058,0.06662685763011149,0.288559012301999
ASLE,2023-08-21,-0.0011548883583392896,0.9110190072110473,0.0977481273401469,0.12690995336141575,0.20356943443378545,0.19699568132963904
ASLE,2024-03-18,-0.003631912982293287,1.4015455251865336,-0.028546193660344443,0.00223224909608067,0.08809891348173396,0.05264625588385319
ASLE,2024-06-18,-0.003656937210208334,1.553504229922945,0.006452247422566705,-0.008931771747634912,0.11145652141644148,-0.05642493223970799
ATAI,2021-06-24,,,,,,
ATEC,2021-11-30,-0.00016781331335876935,1.3610712933173983,0.031778586533485156,0.08381578537437798,0.12755728371634617,0.1198018437873574
ATEC,2022-06-13,-0.0008467783844512902,1.5756127029095723,0.0022106880480284655,-0.08959930303059296,0.033166994421693116,0.10932090177489401
ATEC,2024-08-26,-0.002830721425860421,1.960647014615982,0.10645937740199066,0.22835131392197106,0.002138338529105374,0.6922780851308366
ATEX,2021-03-08,-0.0014965588261319953,1.1892207898851244,0.01329806137262306,0.051690841334045744,0.045431649157234424,0.13075583850034422
ATEX,2021-08-19,0.000993992283250472,0.8434753987165943,0.018559463473224548,0.0034303246943672185,0.10883522009520752,-0.005908614696550438
ATGE,2021-03-03,0.000503853657005357,0.816280138316322,0.011291152023847686,0.01341303001052074,-0.030339285124684333,-0.12079640573857453
ATGE,2021-12-03,0.00030721697241703526,0.9552560425488049,0.058230895100776676,0.026948035818590663,0.023731090607324742,-0.15248918757461638
ATGE,2022-02-23,-0.0018137438293483615,0.9349752327322616,-0.008381608906032166,0.11929192337529589,0.37993899920975366,0.6607194768101818
ATI,2015-10-29,-0.002109046809048239,1.5138223493780023,0.01961161673986425,-0.011503267857057298,0.022276831460597175,-0.2010063979231657
