ticker,company_name,event_date,cluster_start,cluster_end,n_unique_insiders,n_transactions,insider_names,total_value,avg_price,first_trade_date,last_trade_date,first_filing_date,last_filing_date
TCBI,Texas Capital Bancshares Inc/tx,2023-05-19 16:04:26,2023-04-21,2023-05-17,3,12,Cummings John W; Long Thomas E; Stallings Robert W,5054878,38.05166666666667,2023-04-21,2023-05-17,2023-04-25 16:09:50,2023-05-19 16:04:26
KDP,Keurig Dr Pepper Inc.,2023-05-19 16:24:06,2023-05-03,2023-05-17,5,6,Johnson Roger Frederick; Rotem-Wildeman Karin; Shoemaker Anthony; Singer Robert S; Sudhanshu Priyadarshi,1752291,32.495,2023-05-03,2023-05-17,2023-05-05 08:18:54,2023-05-19 16:24:06
FSTR,Foster L B Co,2023-05-19 16:49:06,2023-05-12,2023-05-18,3,3,English Aron R.; Jones Alexander B; Reilly Sean M,368933,11.163333333333334,2023-05-12,2023-05-18,2023-05-15 15:33:13,2023-05-19 16:49:06
BRKL,Brookline Bancorp Inc,2023-05-22 08:49:07,2023-05-03,2023-05-19,3,4,Carlson Carl M; Fess Darryl J.; Hackett John A,98307,8.175,2023-05-03,2023-05-19,2023-05-04 12:24:06,2023-05-22 08:49:07
CZWI,Citizens Community Bancorp Inc.,2023-05-22 09:00:46,2023-04-28,2023-05-19,6,8,Bianchi Stephen M; Bourget Kristina M; Broucek James S; Felber Francis E; Moll James D; Olson Timothy L,57031,9.01875,2023-04-28,2023-05-19,2023-05-01 09:19:33,2023-05-22 09:00:46
CVLY,Codorus Valley Bancorp Inc,2023-05-22 09:31:06,2023-05-02,2023-05-17,5,5,Brunner Brian D; Cenekofsky Keith Michael; Giambalvo John W; Kauffman Craig L; Kiernan John E,76556,17.267999999999997,2023-05-02,2023-05-17,2023-05-04 11:42:37,2023-05-22 09:31:06
CLST,"Catalyst Bancorp, Inc.",2023-05-22 10:34:54,2023-05-01,2023-05-18,3,5,Bellard Ted D.; Kleiser Kirk E.; Zanco Joseph B,229766,10.096,2023-05-01,2023-05-18,2023-05-03 13:00:20,2023-05-22 10:34:54
BFS,"Saul Centers, Inc.",2023-05-22 12:05:42,2023-05-09,2023-05-18,3,4,Heard Carlos Lawrence; Pearson David Todd; Saul B Francis II,479010,33.58,2023-05-09,2023-05-18,2023-05-11 16:57:06,2023-05-22 12:05:42
COFS,Choiceone Financial Services Inc,2023-05-22 12:50:52,2023-05-04,2023-05-19,4,4,Essex Bruce John Jr; Greenland Adom; Hendon Jack; McGinnis Bradley F.,230420,21.61,2023-05-04,2023-05-19,2023-05-05 16:36:24,2023-05-22 12:50:52
HTBI,"Hometrust Bancshares, Inc.",2023-05-22 12:53:32,2023-05-01,2023-05-19,4,5,James Robert E.; Kendall Laura C; Switzer John; Williams Richard Tyrone,117527,19.298,2023-05-01,2023-05-19,2023-05-02 18:23:29,2023-05-22 12:53:32
MBCN,Middlefield Banc Corp,2023-05-22 14:17:30,2023-04-27,2023-05-16,5,7,Heslop James R II; Skidmore William J; Voinovich Michael C; Wilson Thomas M; Zimmerly Ronald Len Jr.,92318,25.244285714285716,2023-04-27,2023-05-16,2023-04-27 14:10:54,2023-05-22 14:17:30
EGBN,Eagle Bancorp Inc,2023-05-22 16:00:03,2023-05-16,2023-05-18,6,8,Freidkin Steven; Levingston Charles; Ludwig A. Leslie; Raffa Kathy A; Riel Susan G; Saltzman Paul,368723,17.77,2023-05-16,2023-05-18,2023-05-17 12:04:39,2023-05-22 16:00:03
LDOS,"Leidos Holdings, Inc.",2023-05-22 16:42:38,2023-05-04,2023-05-22,4,4,Bell Thomas Arthur; Dahlberg Gregory R; Howe Jerald S Jr; Shapard Robert S,996391,79.63,2023-05-04,2023-05-22,2023-05-08 16:25:17,2023-05-22 16:42:38
FHN,First Horizon Corp,2023-05-22 17:08:50,2023-05-04,2023-05-19,5,5,Davidson Wendy P; Fenstermaker William H; Palmer Vicki R; Reed Colin V; Sugranes Rosa,421439,10.170000000000002,2023-05-04,2023-05-19,2023-05-04 18:51:55,2023-05-22 17:08:50
ATSG,"Air Transport Services Group, Inc.",2023-05-22 17:13:56,2023-05-09,2023-05-19,7,7,Berger Michael L; Chase Paul; Fedders Matthew E.; Hete Joseph C; Johns Raymond E Jr; Payne W Joseph; Vorholt Jeffrey J,264535,15.301428571428573,2023-05-09,2023-05-19,2023-05-09 13:44:20,2023-05-22 17:13:56
AE,"Adams Resources & Energy, Inc.",2023-05-22 18:55:26,2023-05-12,2023-05-22,3,3,Dominic Dennis E.; Ohmart Tracy E; Pressler Townes G.,43138,33.75666666666667,2023-05-12,2023-05-22,2023-05-12 16:04:27,2023-05-22 18:55:26
TNDM,Tandem Diabetes Care Inc,2023-05-22 20:10:34,2023-05-12,2023-05-18,3,3,Allen Dick; Howell Peyton R; Vosseller Leigh,483984,30.8,2023-05-12,2023-05-18,2023-05-16 19:52:52,2023-05-22 20:10:34
NKSH,National Bankshares Inc,2023-05-23 11:06:03,2023-04-24,2023-05-22,6,12,Ball Lawrence J; Denardo F Brad; Dooley John Elliott; Dye Michael E; Fitzwater Norman V III; Sanders Bobby D. II,218413,29.69583333333333,2023-04-24,2023-05-22,2023-04-24 11:22:02,2023-05-23 11:06:03
VLY,Valley National Bancorp,2023-05-23 11:38:57,2023-05-08,2023-05-22,4,4,Baum Peter J; Lenner Marc J; Mendelson Avner; Sani Suresh L,183665,15.940000000000001,2023-05-08,2023-05-22,2023-05-09 08:51:37,2023-05-23 11:38:57
PEBK,Peoples Bancorp of North Carolina Inc,2023-05-23 15:23:31,2023-04-27,2023-05-22,3,3,Howard Douglas S; Sellers Lance A; Zachary Benjamin I,22785,21.916666666666668,2023-04-27,2023-05-22,2023-04-27 16:00:48,2023-05-23 15:23:31
OUST,"Ouster, Inc.",2023-05-23 20:22:05,2023-05-16,2023-05-23,3,4,Boulet Virginia; Frichtl Mark; Pacala Charles Angus,837104,5.947499999999999,2023-05-16,2023-05-23,2023-05-18 16:05:44,2023-05-23 20:22:05
SBFG,"Sb Financial Group, Inc.",2023-05-24 10:44:05,2023-05-09,2023-05-22,4,4,Claxton Timothy L.; Klein Mark A; Martin William G; Stolly Timothy J.,52066,12.6725,2023-05-09,2023-05-22,2023-05-10 17:06:13,2023-05-24 10:44:05
BAFN,Bayfirst Financial Corp.,2023-05-24 11:29:50,2023-05-02,2023-05-23,4,7,Berset Mark S; Leo Anthony N; Saravanos Anthony; Zernick Thomas Gerard,9554,14.575714285714286,2023-05-02,2023-05-23,2023-05-02 13:22:12,2023-05-24 11:29:50
ABCB,Ameris Bancorp,2023-05-24 15:15:15,2023-05-01,2023-05-23,5,6,Choate William Millard; Lahaise James A; McKendry William D; Proctor H Palmer Jr; Stokes Nicole S,1228549,30.75333333333333,2023-05-01,2023-05-23,2023-05-02 16:47:14,2023-05-24 15:15:15
FISI,Financial Institutions Inc,2023-05-24 16:00:20,2023-05-03,2023-05-18,9,9,Birmingham Martin Kearney; Boswell Donald; Burruano Samuel J Jr; Dorn Andrew W Jr; Glaser Robert M; Gullo Samuel M; Holliday Susan R; Latella Robert N; Plants William Jack II,315582,15.82777777777778,2023-05-03,2023-05-18,2023-05-04 16:00:10,2023-05-24 16:00:20
CBAN,Colony Bankcorp Inc,2023-05-24 16:23:30,2023-05-02,2023-05-23,6,9,Bagwell Lee; Bateman Leonard H Jr; Dockery Kimberly C.; Downing Scott Lowell; Hollingsworth Audrey; Reed Matthew D.,92320,9.177777777777779,2023-05-02,2023-05-23,2023-05-03 08:42:23,2023-05-24 16:23:30
EYE,"National Vision Holdings, Inc.",2023-05-24 16:42:34,2023-05-15,2023-05-22,3,3,Fahs L Reade; Peeler D Randolph; Taylor Thomas V,1388673,24.5,2023-05-15,2023-05-22,2023-05-17 12:22:15,2023-05-24 16:42:34
CFFN,"Capitol Federal Financial, Inc.",2023-05-24 17:05:35,2023-05-11,2023-05-23,3,3,Jackson Rick C; Johnson Jeffrey M; Thompson Jeffrey R,123868,5.703333333333333,2023-05-11,2023-05-23,2023-05-15 10:22:39,2023-05-24 17:05:35
DTM,"Dt Midstream, Inc.",2023-05-24 17:19:54,2023-05-08,2023-05-23,4,4,Pickle Elaine M; Skaggs Robert C Jr; Slater David; Tumminello Peter I,470295,46.87,2023-05-08,2023-05-23,2023-05-08 18:31:43,2023-05-24 17:19:54
BMRC,Bank of Marin Bancorp,2023-05-24 17:25:12,2023-05-02,2023-05-23,9,9,Fite Charles D; Heller H Robert; Kennedy Kevin R; McDevitt Jr William H; Merck David A; Myers Timothy D; Sathis Arasadi; Stewart Misako; Watson Secil Tabli,348740,15.195555555555554,2023-05-02,2023-05-23,2023-05-02 17:11:24,2023-05-24 17:25:12
CBKM,Consumers Bancorp Inc /oh/,2023-05-25 13:43:23,2023-04-25,2023-05-25,4,7,Gano Ann M; L'Italien Shawna; Lober Ralph J II; Parkinson John W,40085,16.984285714285715,2023-04-25,2023-05-25,2023-04-25 15:32:44,2023-05-25 13:43:23
MOFG,"Midwestone Financial Group, Inc.",2023-05-25 15:08:14,2023-05-02,2023-05-25,10,12,Albert Larry D; Devaisher Len D; Donohue Richard R; Hauschildt Jennifer Leigh; Hayek Matthew J; Heinonen Ruth Eliina; Kaeding Nathaniel J; McCormick Tracy S; Monson Kevin W; Reeves Charles N,489714,18.927500000000002,2023-05-02,2023-05-25,2023-05-03 11:57:06,2023-05-25 15:08:14
BRBS,"Blue Ridge Bankshares, Inc.",2023-05-25 15:13:58,2023-05-10,2023-05-25,10,15,Beale G William; Bost Hunter H.; Dean Mensel D; Dees Larry; Farmar Richard A III; Holzwarth Andrew C.; Reynolds Randolph N Jr; Spilman Vance H; Stokes William W.; Woodruff Carolyn J.,376923,8.062000000000001,2023-05-10,2023-05-25,2023-05-12 11:12:05,2023-05-25 15:13:58
HWC,Hancock Whitney Corp,2023-05-25 16:19:48,2023-04-21,2023-05-10,3,3,Lane Harry Merritt III; Perez Sonia; Teofilo Joan Cahill,169340,35.23,2023-04-21,2023-05-10,2023-04-25 16:39:18,2023-05-25 16:19:48
WTBA,West Bancorporation Inc,2023-05-25 16:29:08,2023-05-08,2023-05-24,4,5,McMurray Sean Patrick; Milligan George D; Nelson David D; Peters Bradley P,226204,16.294000000000004,2023-05-08,2023-05-24,2023-05-09 16:30:50,2023-05-25 16:29:08
FARO,Faro Technologies Inc,2023-05-25 16:30:46,2023-05-12,2023-05-24,5,7,Cole Stephen; Davern Alexander M; Donofrio John; Van Rotterdam Jeroen; Wasserman Yuval,1165845,11.790000000000001,2023-05-12,2023-05-24,2023-05-16 17:55:39,2023-05-25 16:30:46
MKL,Markel Corp,2023-05-25 16:32:00,2023-04-28,2023-05-24,4,4,Cunningham Lawrence A; Gayner Thomas Sinnickson; Housel Morgan E.; Puckett A. Lynne,260643,1341.885,2023-04-28,2023-05-24,2023-05-02 16:31:14,2023-05-25 16:32:00
CALB,California Bancorp,2023-05-25 16:38:51,2023-05-02,2023-05-24,5,5,Armanino Andrew J.; Cortese Stephen A.; Dorrance Thomas M.; Sa Thomas A; Shelton Steven E.,191622,14.184000000000001,2023-05-02,2023-05-24,2023-05-03 16:30:36,2023-05-25 16:38:51
FRAF,Franklin Financial Services Corp /pa/,2023-05-26 09:06:04,2023-04-26,2023-05-24,9,15,Carmack Karen K; Carroll Charles Benner Jr; Craig Kevin W; Duffey Gregory A; Elliott G Warren; Henry Timothy G; Hollar Mark R; Jennings Allan E Jr; Rzomp Kimberly,211116,26.668,2023-04-26,2023-05-24,2023-04-27 10:48:09,2023-05-26 09:06:04
FKYS,First Keystone Corp,2023-05-26 09:45:59,2023-05-01,2023-05-25,5,5,Bower Donald Matthew; Holloway Whitney B; Jezewski Michael L; Littlewood Jonathan Robert; Marr Nancy Jean,28162,19.336000000000002,2023-05-01,2023-05-25,2023-05-02 17:10:24,2023-05-26 09:45:59
EVA,Enviva Inc.,2023-05-26 11:31:32,2023-05-05,2023-05-25,5,7,Alexander Ralph; Bumgarner John C Jr; Coscio Mark A; Lansing Gerrit Livingston Jr.; Whitlock Gary L,3359774,8.884285714285713,2023-05-05,2023-05-25,2023-05-05 13:35:38,2023-05-26 11:31:32
CSBB,"Csb Bancorp, Inc.",2023-05-26 12:03:50,2023-05-01,2023-05-25,3,5,Baker Robert K; Briggs Vikki G; Steiner Eddie L,61946,37.5,2023-05-01,2023-05-25,2023-05-02 10:32:13,2023-05-26 12:03:50
SFST,Southern First Bancshares Inc,2023-05-26 12:25:00,2023-04-28,2023-05-25,9,12,Aiken William M. III; Borrmann David Andrew; Cothran Mark A; Grayson-Caprio Terry; Hooper Tecumseh Jr; Hurst Calvin C; King Silvia T; Locke Anna T; Seaver R Arthur Jr,405991,23.022500000000004,2023-04-28,2023-05-25,2023-05-01 16:08:35,2023-05-26 12:25:00
TCBS,"Texas Community Bancshares, Inc.",2023-05-26 13:09:41,2023-05-18,2023-05-24,4,5,Bradshaw Clifton D.; Herlocker James H. III; Strange Haskell; Thurman Glen,24090,11.376,2023-05-18,2023-05-24,2023-05-22 11:57:39,2023-05-26 13:09:41
PRLD,Prelude Therapeutics Inc,2023-05-26 16:20:55,2023-05-22,2023-05-24,5,6,Bonita David P; Chardonnet Laurent; Lim Bryant David; Orbimed Advisors LLC; Vaddi Krishna,10116973,5.528333333333333,2023-05-22,2023-05-24,2023-05-24 17:07:15,2023-05-26 16:20:55
ADC,Agree Realty Corp,2023-05-30 06:30:09,2023-05-08,2023-05-26,5,9,Agree Joey; Breslin Stephen; Coughenour Peter; Erlich Craig; Rakolta John Jr,2540326,65.45333333333332,2023-05-08,2023-05-26,2023-05-10 07:00:06,2023-05-30 06:30:09
NSTG,Nanostring Technologies Inc,2023-05-30 08:36:20,2023-05-24,2023-05-26,3,3,Bailey K Thomas; Gray R Bradley; Young William,461956,5.75,2023-05-24,2023-05-26,2023-05-26 08:41:32,2023-05-30 08:36:20
MNSB,"Mainstreet Bancshares, Inc.",2023-05-30 10:09:25,2023-04-24,2023-05-23,4,7,Brockett Charles C.; Chmelik Thomas J; Dick Jeff W; Vari Richard Alexander,277489,20.988571428571426,2023-04-24,2023-05-23,2023-04-24 12:45:06,2023-05-30 10:09:25
MDV,Modiv Inc.,2023-05-30 14:03:17,2023-04-25,2023-05-25,6,12,Halfacre Aaron Scott; Ishaq Asma; Markman Adam Scott; Nolan Thomas  H Jr; Smith Kimberly J; Tirondola Connie,14556,12.173333333333334,2023-04-25,2023-05-25,2023-04-26 14:08:56,2023-05-30 14:03:17
CAPL,Crossamerica Partners LP,2023-05-30 20:38:54,2023-05-15,2023-05-25,3,5,Gannon Justin A.; Kelso Thomas E; Topper Joseph V. Jr.,1037818,18.778,2023-05-15,2023-05-25,2023-05-17 12:03:20,2023-05-30 20:38:54
OVLY,Oak Valley Bancorp,2023-05-31 13:50:58,2023-05-01,2023-05-31,3,6,Dickerson Lynn; Holder H Randolph Jr; Strong Gary,243357,23.73,2023-05-01,2023-05-31,2023-05-01 13:29:49,2023-05-31 13:50:58
KFS,Kingsway Financial Services Inc,2023-05-31 16:06:37,2023-05-04,2023-05-30,3,7,Fitzgerald John Taylor Maloney; Frischer Charles L; Hansen Kent A,117246,8.464285714285714,2023-05-04,2023-05-30,2023-05-05 16:43:54,2023-05-31 16:06:37
NRIM,Northrim Bancorp Inc,2023-05-31 16:33:27,2023-05-02,2023-05-30,8,9,Ballard Jed W; Karp David W; Marushack Joseph; McCambridge David J; Schierhorn Joseph M; Schutt Aaron Michael; Swalling John C; Wight David G,382865,36.55222222222222,2023-05-02,2023-05-30,2023-05-02 12:51:04,2023-05-31 16:33:27
CMCT,Creative Media & Community Trust Corp,2023-05-31 18:57:54,2023-05-19,2023-05-26,4,12,"Cim Cmct Mlp, LLC; Kuba Shaul; Ressler Richard S; Shemesh Avraham",1235468,5.090000000000001,2023-05-19,2023-05-26,2023-05-23 17:39:35,2023-05-31 18:57:54
EHAB,"Enhabit, Inc.",2023-05-31 20:17:08,2023-05-17,2023-05-26,4,5,Bolton Jeffrey; Hoeflinger Erin; Langham Ronald Leroy Jr; Shaw L Edward Jr,311342,11.84,2023-05-17,2023-05-26,2023-05-18 15:01:35,2023-05-31 20:17:08
